Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
hsqldb,org.hsqldb.persist.LockFile.LockHeldExternallyException,LockHeldExternallyException,Public Static Final Class,8,1,5,8,1,13,1,8,0,0,25,40,1.6,3,3,11,7,0,0,9,6,4,2,72,1,3,0,4,25,25,0,0,4,8,13,4,No
hsqldb,org.hsqldb.persist.LockFile.UnexpectedEndOfFileException,UnexpectedEndOfFileException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,16,24,1.5,3,3,8,5,0,0,4,4,3,1,45,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.UnexpectedFileIOException,UnexpectedFileIOException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,15,24,1.6,3,3,7,5,0,0,4,4,3,1,44,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.UnexpectedFileNotFoundException,UnexpectedFileNotFoundException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,16,24,1.5,3,3,8,5,0,0,4,4,3,1,45,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.WrongLengthException,WrongLengthException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,14,24,1.71,2,2,6,5,0,0,4,4,3,1,43,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.WrongMagicException,WrongMagicException,Public Static Final Class,7,2,6,7,2,14,1,9,0,0,20,25,1.25,3,3,7,6,0,0,10,6,3,1,53,2,3,0,3,0,0,0,0,3,7,11,5,No
hsqldb,org.hsqldb.scriptio.ScriptReaderBase,ScriptReaderBase,Public Abstract Class,15,0,3,0,1,3,1,17,0,0,54,7,0.13,8,8,32,32,1,1,11,11,15,16,78,1,1,0,15,93,93,0,2,12,32,43,10,No
hsqldb,org.hsqldb.scriptio.ScriptReaderDecode,ScriptReaderDecode,Public Class,28,8,26,0,7,34,1,28,0,0,85,6,0.07,18,18,11,10,0,0,60,48,3,4,119,13,3,2,3,33,33,0,0,3,35,57,21,No
hsqldb,org.hsqldb.scriptio.ScriptReaderText,ScriptReaderText,Public Class,25,7,23,1,5,30,1,81,0,0,233,16,0.07,36,36,36,33,3,1,165,125,10,6,329,10,2,5,10,77,67,1,1,5,107,150,49,No
hsqldb,org.hsqldb.scriptio.ScriptWriterBase,ScriptWriterBase,Public Abstract Class,35,3,10,1,2,14,2,110,0,3,285,58,0.2,32,32,94,84,2,1,166,134,35,20,453,8,1,3,35,89,74,0,6,27,143,199,56,No
hsqldb,org.hsqldb.scriptio.ScriptWriterEncode,ScriptWriterEncode,Public Class,58,3,14,1,2,17,1,26,0,0,87,9,0.1,15,15,17,13,1,0,59,43,6,3,122,3,3,2,6,67,67,0,2,3,38,53,14,No
hsqldb,org.hsqldb.scriptio.ScriptWriterText,ScriptWriterText,Public Class,52,2,9,0,2,12,1,59,0,12,182,23,0.13,17,17,39,31,1,2,122,114,17,1,263,4,2,2,17,88,73,1,4,11,99,133,31,Yes
hsqldb,org.hsqldb.persist.TextTableStorageManager,TextTableStorageManager,Public Class,5,2,7,1,2,11,1,18,0,0,40,8,0.2,8,8,13,12,1,0,23,21,5,1,66,3,1,2,5,20,20,0,0,4,15,27,11,No
hsqldb,org.hsqldb.persist.ScriptRunner,ScriptRunner,Public Class,2,24,75,7,14,105,1,49,2,0,151,23,0.15,28,28,34,26,0,0,116,80,0,0,223,24,1,5,2,0,0,1,0,1,71,91,28,No
hsqldb,org.hsqldb.TransactionManagerMV2PL,TransactionManagerMV2PL,Public Class,54,4,11,2,2,16,2,114,0,0,286,47,0.16,19,19,60,55,2,0,189,168,25,2,447,8,2,4,25,92,80,1,0,22,139,203,54,No
hsqldb,org.hsqldb.TransactionManagerMVCC,TransactionManagerMVCC,Public Class,57,6,18,3,4,27,2,203,0,0,506,95,0.19,26,26,88,87,5,0,348,315,28,9,804,12,2,4,28,94,87,1,0,22,261,375,103,No
hsqldb,org.hsqldb.persist.RowStoreAVLMemory,RowStoreAVLMemory,Public Class,80,1,5,0,2,7,1,44,0,0,117,3,0.03,18,18,30,27,0,0,68,57,21,1,164,6,2,2,21,95,95,0,0,21,50,79,33,No
hsqldb,org.hsqldb.persist.RowStoreAVLDiskData,RowStoreAVLDiskData,Public Class,84,2,7,0,2,9,1,74,0,0,178,5,0.03,27,27,40,37,0,0,108,94,25,3,257,7,2,2,25,80,75,0,0,25,84,123,41,No
hsqldb,org.hsqldb.persist.RowStoreAVLHybridExtended,RowStoreAVLHybridExtended,Public Class,90,4,11,0,2,15,1,45,0,0,99,4,0.04,10,10,27,21,0,0,60,52,9,2,148,4,3,2,9,67,28,1,0,8,44,67,21,No
hsqldb,org.hsqldb.persist.RowStoreDataChange,RowStoreDataChange,Public Class,84,2,6,0,1,8,1,11,0,0,21,0,0,7,7,7,6,0,0,10,9,3,1,32,2,3,1,3,33,33,0,0,3,9,14,4,No
