Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
activemq-5.17.5316,org.apache.activemq.openwire.v1.ActiveMQTextMessageTest,ActiveMQTextMessageTest,Public Class,55,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,7,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5317,org.apache.activemq.openwire.v1.BrokerInfoTest,BrokerInfoTest,Public Class,52,1,11,0,2,12,1,5,0,1,25,24,0.96,2,2,7,8,0,0,16,15,2,0,54,2,5,1,2,0,0,0,1,1,17,21,3,No
activemq-5.17.5318,org.apache.activemq.openwire.v1.MessageAckTest,MessageAckTest,Public Class,52,1,8,0,1,9,1,4,0,1,19,26,1.37,2,2,6,6,0,0,13,12,2,0,49,1,5,0,2,0,0,0,1,1,13,16,2,No
activemq-5.17.5319,org.apache.activemq.openwire.ItStillMarshallsTheSameTest,ItStillMarshallsTheSameTest,Public Class,1,0,3,0,1,3,1,2,0,0,5,16,3.2,3,3,2,2,0,0,1,1,1,0,23,1,2,0,1,0,0,0,0,1,1,3,1,No
activemq-5.17.5320,org.apache.activemq.openwire.NumberRangesWhileMarshallingTest,NumberRangesWhileMarshallingTest,Public Class,6,2,12,2,2,16,1,21,0,1,81,28,0.35,13,13,38,32,0,0,59,49,6,5,130,4,2,1,6,63,60,1,2,3,53,64,10,No
activemq-5.17.5321,org.apache.activemq.openwire.OpenWireConnectionTimeoutTest,OpenWireConnectionTimeoutTest,Public Class,11,2,14,1,3,16,1,33,1,5,180,30,0.17,26,26,38,34,0,0,135,91,10,6,235,10,1,2,11,83,74,0,3,8,94,116,31,No
activemq-5.17.5322,org.apache.activemq.openwire.OpenWireConnectionTimeoutTest.testInactivityMonitor.(Anon_1),(Anon_1),Anonymous Class,1,0,11,0,2,11,1,1,0,0,12,0,0,3,3,1,1,0,0,10,6,1,0,13,2,2,1,1,0,0,0,0,1,5,7,2,No
activemq-5.17.5323,org.apache.activemq.openwire.OpenWireConnectionTimeoutTest.testInactivityMonitor.(Anon_2),(Anon_2),Anonymous Class,1,0,5,0,1,5,2,0,0,0,6,0,0,6,6,1,2,0,0,5,2,1,0,6,1,1,0,1,0,0,0,0,1,2,3,1,No
activemq-5.17.5324,org.apache.activemq.openwire.OpenWireConnectionTimeoutTest.testInactivityMonitor.(Anon_3),(Anon_3),Anonymous Class,1,0,5,0,1,5,2,0,0,0,6,0,0,6,6,1,2,0,0,5,2,1,0,6,1,1,0,1,0,0,0,0,1,2,3,1,No
activemq-5.17.5325,org.apache.activemq.openwire.v1.ActiveMQBytesMessageTest,ActiveMQBytesMessageTest,Public Class,55,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,7,0,2,0,0,0,1,1,6,9,2,No
