Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Cassandra,org.apache.cassandra.db.RangeTombstoneListTest,RangeTombstoneListTest,Public Class,51,2,11,0,1,13,1,141,21,1,559,10,0.02,24,24,174,151,0,0,351,334,30,0,710,5,1,3,51,0,0,25,0,26,338,406,71,No
Cassandra,org.apache.cassandra.db.RangeTombstoneTest,RangeTombstoneTest,Public Class,19,5,23,1,2,29,1,115,3,2,441,21,0.05,62,62,133,134,0,0,352,320,16,0,577,9,1,2,19,0,0,4,0,15,325,378,46,No
Cassandra,org.apache.cassandra.db.ReadCommandTest,ReadCommandTest,Public Class,34,4,27,3,2,35,1,174,1,11,961,116,0.12,115,115,240,209,0,0,712,436,33,0,1248,7,1,4,34,0,0,10,0,24,425,512,71,No
Cassandra,org.apache.cassandra.db.ReadCommandTest.FakeOutputStream,FakeOutputStream,Static Class,1,0,4,0,1,4,1,1,0,0,8,0,0,1,1,3,3,0,0,1,1,1,1,9,1,2,0,1,0,0,0,0,1,2,4,1,No
Cassandra,org.apache.cassandra.db.ReadCommandTest.testSinglePartitionGroupMerge.(Anon_1),(Anon_1),Anonymous Class,2,1,4,0,1,4,2,2,0,0,8,0,0,3,3,0,2,0,0,3,1,2,0,10,1,1,0,2,0,0,0,0,2,1,3,2,No
Cassandra,org.apache.cassandra.db.ReadCommandVerbHandlerTest,ReadCommandVerbHandlerTest,Public Class,9,0,9,0,1,10,1,17,4,9,125,0,0,31,31,36,29,0,0,68,38,5,0,142,2,1,1,9,67,67,3,0,6,46,61,12,No
Cassandra,org.apache.cassandra.db.ReadCommandVerbHandlerTest.TrackingSinglePartitionReadCommand,TrackingSinglePartitionReadCommand,Private Static Class,110,0,8,0,1,8,1,3,0,0,28,0,0,11,11,6,5,1,0,15,4,3,1,31,1,5,0,3,33,33,0,0,2,5,9,3,No
Cassandra,org.apache.cassandra.db.ReadMessageTest,ReadMessageTest,Public Class,5,5,26,0,2,30,1,33,1,5,163,0,0,34,34,42,37,0,0,118,60,4,0,196,4,1,3,5,0,0,1,0,4,65,84,8,No
Cassandra,org.apache.cassandra.db.ReadMessageTest.Checker,Checker,Static Class,2,0,10,0,3,10,2,3,0,0,27,0,0,7,7,8,9,0,0,12,10,2,4,30,5,1,3,2,25,25,0,0,2,10,18,6,No
Cassandra,org.apache.cassandra.db.ReadResponseTest,ReadResponseTest,Public Class,15,0,10,1,1,10,1,28,0,0,195,12,0.06,19,19,76,64,0,0,101,84,15,2,235,3,1,2,15,63,37,6,0,9,86,112,17,No
Cassandra,org.apache.cassandra.db.ReadResponseTest.StubReadCommand,StubReadCommand,Private Static Class,110,0,8,0,1,8,1,3,0,0,26,0,0,11,11,5,4,1,0,13,3,3,0,29,1,5,0,3,0,0,0,0,2,3,7,3,No
Cassandra,org.apache.cassandra.db.ReadResponseTest.StubRepairedDataInfo,StubRepairedDataInfo,Private Static Class,14,0,5,0,1,5,1,3,0,0,21,0,0,2,2,8,6,0,0,5,5,3,2,24,1,2,0,3,33,33,0,0,3,7,11,3,No
Cassandra,org.apache.cassandra.db.RecoveryManagerFlushedTest,RecoveryManagerFlushedTest,Public Class,6,1,10,1,1,12,1,14,2,4,69,7,0.1,35,35,22,18,0,0,41,25,4,0,88,2,1,1,6,83,83,1,0,5,29,37,7,No
Cassandra,org.apache.cassandra.db.RecoveryManagerMissingHeaderTest,RecoveryManagerMissingHeaderTest,Public Class,5,1,11,1,1,12,1,12,2,4,63,3,0.05,33,33,22,16,0,0,38,20,3,0,76,3,1,2,5,0,0,0,0,5,22,31,7,No
Cassandra,org.apache.cassandra.db.RecoveryManagerTest,RecoveryManagerTest,Public Class,12,3,18,1,2,21,1,55,2,7,275,8,0.03,55,55,85,70,0,0,182,125,10,0,335,3,1,2,12,100,100,0,0,12,130,158,21,No
Cassandra,org.apache.cassandra.db.RecoveryManagerTest.MockInitiator,MockInitiator,Private Static Class,2,6,47,0,1,53,1,7,0,0,52,0,0,5,5,12,10,0,0,30,14,1,2,59,1,2,0,1,100,100,0,1,0,15,21,1,No
Cassandra,org.apache.cassandra.db.RecoveryManagerTest.MockInitiator.initiateMutation.(Anon_1),(Anon_1),Anonymous Class,5,0,6,0,1,6,1,5,0,0,32,0,0,8,8,0,5,0,0,21,10,5,0,37,1,2,0,5,0,0,0,0,5,10,15,5,No
Cassandra,org.apache.cassandra.db.RecoveryManagerTruncateTest,RecoveryManagerTruncateTest,Public Class,5,1,9,1,1,10,1,9,2,2,50,9,0.18,28,28,15,10,0,0,27,13,3,0,66,1,1,0,5,0,0,0,0,5,15,21,5,No
Cassandra,org.apache.cassandra.db.RemoveCellTest,RemoveCellTest,Public Class,135,0,11,0,1,11,1,0,0,0,14,0,0,5,5,5,4,0,0,7,7,1,0,14,1,2,0,1,0,0,0,0,1,7,9,1,No
Cassandra,org.apache.cassandra.db.repair.CompactionManagerGetSSTablesForValidationTest,CompactionManagerGetSSTablesForValidationTest,Public Class,8,1,11,0,1,13,1,19,1,3,102,7,0.07,36,36,33,29,0,0,59,52,7,7,128,2,1,1,8,56,39,3,0,5,62,72,10,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionBytemanTest,PendingAntiCompactionBytemanTest,Public Class,7,2,22,2,3,25,1,4,1,0,47,3,0.06,26,26,14,11,0,0,26,25,1,0,54,3,2,1,2,0,0,1,0,1,21,31,8,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest,PendingAntiCompactionTest,Public Class,26,2,26,2,2,30,1,74,1,1,567,36,0.06,78,78,152,153,0,0,360,315,20,0,673,5,2,3,21,0,0,3,0,18,289,369,52,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.InstrumentedAcquisitionCallback,InstrumentedAcquisitionCallback,Private Static Class,6,0,5,1,1,5,1,2,0,0,14,1,0.07,9,9,4,4,1,0,5,5,2,1,16,1,2,0,2,50,50,0,0,1,5,8,4,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.antiCompactionException.(Anon_1),(Anon_1),Anonymous Class,6,0,19,0,1,19,1,0,0,0,20,0,0,5,5,3,4,0,0,11,4,1,0,20,1,2,0,1,0,0,0,1,0,4,7,2,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.antiCompactionException.(Anon_1).getAcquisitionCallback.(Anon_2),(Anon_2),Anonymous Class,5,0,12,0,1,12,1,0,0,0,13,0,0,5,5,2,3,1,0,6,3,1,0,13,1,2,0,1,0,0,0,0,0,3,5,1,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.antiCompactionException.(Anon_1).getAcquisitionCallback.(Anon_2).submitPendingAntiCompaction.(Anon_3),(Anon_3),Anonymous Class,3,0,4,0,1,4,1,0,0,0,5,0,0,1,1,0,1,0,0,2,1,1,0,5,1,2,0,1,0,0,0,1,0,1,2,1,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.testRetries.(Anon_6),(Anon_6),Anonymous Class,6,0,4,0,1,4,1,1,0,0,9,0,0,5,5,0,2,0,0,4,2,2,0,10,1,2,0,2,0,0,0,0,2,2,4,2,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.testRetries.(Anon_7),(Anon_7),Anonymous Class,3,0,8,0,2,8,1,0,0,0,9,0,0,5,5,0,1,0,0,6,4,1,0,9,2,2,1,1,0,0,0,0,1,3,5,2,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.testRetriesTimeout.(Anon_8),(Anon_8),Anonymous Class,6,0,4,0,1,4,1,1,0,0,9,0,0,5,5,0,2,0,0,4,2,2,0,10,1,2,0,2,0,0,0,0,2,2,4,2,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.testRetriesTimeout.(Anon_9),(Anon_9),Anonymous Class,3,0,5,0,1,5,1,0,0,0,6,0,0,4,4,0,1,0,0,3,1,1,0,6,1,2,0,1,0,0,0,0,1,1,2,1,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.testUnblockedAcquisition.(Anon_4),(Anon_4),Anonymous Class,2,0,4,0,1,4,1,1,0,0,8,0,0,3,3,0,2,0,0,3,1,2,0,9,1,2,0,2,0,0,0,0,2,1,3,2,No
Cassandra,org.apache.cassandra.db.repair.PendingAntiCompactionTest.tryPredicate.(Anon_5),(Anon_5),Anonymous Class,6,0,4,0,1,4,1,1,0,0,9,0,0,5,5,0,2,0,0,4,2,2,0,10,1,2,0,2,0,0,0,0,2,2,4,2,No
Cassandra,org.apache.cassandra.db.RepairedDataInfoTest,RepairedDataInfoTest,Public Class,23,0,11,0,1,11,1,30,3,4,252,5,0.02,43,43,85,79,0,0,146,109,20,1,287,3,1,1,23,81,67,14,0,9,113,148,32,No
Cassandra,org.apache.cassandra.db.RepairedDataInfoTest.partitionWithStaticRow.(Anon_1),(Anon_1),Anonymous Class,17,0,4,0,2,4,1,0,0,0,5,0,0,2,2,0,1,0,0,3,1,1,0,5,2,3,0,1,0,0,0,1,0,1,2,2,No
Cassandra,org.apache.cassandra.db.RepairedDataInfoTest.partitions.(Anon_2),(Anon_2),Anonymous Class,5,0,4,0,1,4,1,2,0,0,13,0,0,3,3,0,3,0,0,6,3,3,0,15,1,2,0,3,0,0,0,0,3,3,6,3,No
Cassandra,org.apache.cassandra.db.RepairedDataTombstonesTest,RepairedDataTombstonesTest,Public Class,148,0,18,1,3,19,1,18,1,0,253,8,0.03,25,25,39,49,0,0,145,151,13,0,278,6,2,6,14,0,0,6,0,8,140,186,40,No
Cassandra,org.apache.cassandra.db.RowCacheCQLTest,RowCacheCQLTest,Public Class,137,3,23,1,1,26,1,10,0,0,71,3,0.04,4,4,8,5,0,0,56,39,3,0,84,1,2,0,3,0,0,0,0,3,39,43,3,No
Cassandra,org.apache.cassandra.db.RowCacheTest,RowCacheTest,Public Class,16,5,22,3,2,30,1,97,3,4,365,44,0.12,56,56,106,108,0,0,262,252,13,0,502,4,1,2,16,0,0,2,0,14,256,296,33,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest,RowIndexEntryTest,Public Class,142,4,22,1,1,27,1,132,4,3,580,48,0.08,48,48,176,165,0,0,326,274,4,0,759,3,2,1,8,0,0,4,0,4,288,381,11,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.ColumnIndex,ColumnIndex,Static Final Class,3,1,7,0,1,7,1,32,2,1,119,13,0.11,9,9,43,34,1,0,57,50,1,2,164,1,1,0,3,67,67,1,0,1,59,79,3,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.ColumnIndex.Builder,Builder,Private Static Class,7,2,11,1,2,13,1,25,0,0,93,10,0.11,23,23,31,26,1,0,49,42,7,15,128,6,1,1,7,65,47,5,0,1,49,65,18,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.DoubleSerializer,DoubleSerializer,Private Static Class,5,1,13,0,1,14,2,15,0,0,88,2,0.02,43,43,35,30,2,0,51,35,5,17,105,1,1,0,5,69,68,2,0,1,43,52,5,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.DoubleSerializer.makeRowIter.(Anon_1),(Anon_1),Anonymous Class,17,0,14,1,3,15,1,0,0,0,15,1,0.07,6,6,0,1,0,0,8,6,1,0,16,3,3,1,1,0,0,0,1,0,4,7,3,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.Pre_C_11206_RowIndexEntry,Pre_C_11206_RowIndexEntry,Static Class,8,0,5,2,1,6,2,42,1,1,194,25,0.13,8,8,55,55,1,1,94,81,7,1,260,2,1,1,8,88,75,0,1,6,80,123,9,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.Pre_C_11206_RowIndexEntry.IndexedEntry,IndexedEntry,Private Static Final Class,14,1,8,0,1,8,1,10,0,1,55,5,0.09,11,11,20,15,0,0,25,18,6,3,69,2,2,1,6,39,39,1,1,4,20,31,8,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.Pre_C_11206_RowIndexEntry.Serializer,Serializer,Public Static Class,7,2,13,1,3,16,1,20,3,0,97,8,0.08,15,15,24,29,2,0,55,50,4,2,125,7,1,3,7,64,64,1,0,4,47,69,18,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.testIndexFor.(Anon_3),(Anon_3),Anonymous Class,13,1,9,0,1,9,1,2,0,0,18,0,0,3,3,0,4,0,0,8,3,2,0,20,1,2,0,2,0,0,0,0,2,3,7,2,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.testIndexFor.(Anon_3).openWithIndex.(Anon_4),(Anon_4),Anonymous Class,2,0,4,0,1,4,2,1,0,0,8,0,0,2,2,0,2,0,0,3,1,2,0,9,1,1,0,2,0,0,0,0,2,1,3,2,No
Cassandra,org.apache.cassandra.db.RowIndexEntryTest.testSerializedSize.(Anon_2),(Anon_2),Anonymous Class,56,0,4,0,1,4,1,1,0,0,9,0,0,1,1,0,2,0,0,4,2,2,0,10,1,5,0,2,0,0,0,0,2,2,4,2,No
Cassandra,org.apache.cassandra.db.RowIterationTest,RowIterationTest,Public Class,137,3,12,1,1,15,1,10,0,0,38,2,0.05,10,10,15,13,0,0,23,24,3,0,50,2,2,1,3,0,0,0,0,3,24,29,4,No
Cassandra,org.apache.cassandra.db.rows.ColumnMetadataVersionComparatorTest,ColumnMetadataVersionComparatorTest,Public Class,15,0,10,0,1,10,1,16,1,0,150,0,0,22,22,46,39,0,0,74,52,14,2,166,3,1,1,15,37,37,3,0,12,48,75,21,No
Cassandra,org.apache.cassandra.db.rows.EncodingStatsTest,EncodingStatsTest,Public Class,10,0,13,0,1,13,1,10,0,0,128,0,0,6,6,56,36,0,0,84,36,10,0,138,1,1,0,10,0,0,0,0,10,36,47,11,No
Cassandra,org.apache.cassandra.db.rows.PartitionSerializationExceptionTest,PartitionSerializationExceptionTest,Public Class,2,3,15,0,1,18,1,7,0,0,32,0,0,11,11,17,12,0,0,19,17,2,0,39,1,1,0,2,0,0,0,0,2,17,20,2,No
Cassandra,org.apache.cassandra.db.rows.RowAndDeletionMergeIteratorTest,RowAndDeletionMergeIteratorTest,Public Class,29,3,11,0,1,13,1,108,8,2,316,4,0.01,47,47,111,91,0,0,203,172,21,5,427,3,1,1,29,86,68,17,0,12,187,221,33,No
Cassandra,org.apache.cassandra.db.rows.RowsMergingTest,RowsMergingTest,Public Class,147,0,9,0,1,9,1,26,1,0,229,3,0.01,4,4,46,36,0,0,116,51,12,0,258,1,2,0,13,0,0,0,0,13,53,85,13,No
Cassandra,org.apache.cassandra.db.rows.RowsMergingTest.MergeChecker,MergeChecker,Private Class,9,0,11,0,2,11,1,13,0,0,106,3,0.03,7,7,20,22,0,0,47,37,9,4,122,5,1,3,9,81,69,5,0,4,39,57,16,No
Cassandra,org.apache.cassandra.db.rows.RowsTest,RowsTest,Public Class,16,4,21,2,1,27,1,101,8,10,474,42,0.09,39,39,189,176,0,0,341,263,8,0,604,3,1,1,16,0,0,7,0,9,279,326,22,No
Cassandra,org.apache.cassandra.db.rows.RowsTest.DiffListener,DiffListener,Private Static Class,5,0,6,0,1,6,2,5,0,0,39,0,0,11,11,12,12,0,0,21,20,5,6,44,2,1,1,5,70,57,1,0,4,21,28,6,No
Cassandra,org.apache.cassandra.db.rows.RowsTest.MergedPair,MergedPair,Private Static Generic Class,5,0,7,0,3,7,1,7,1,0,40,0,0,1,1,11,11,1,0,19,17,4,3,47,7,1,1,5,20,0,1,0,3,18,28,13,No
Cassandra,org.apache.cassandra.db.rows.RowsTest.StatsCollector,StatsCollector,Public Static Class,5,0,4,0,1,4,2,4,0,0,29,0,0,5,5,11,11,0,0,11,9,5,5,33,1,1,0,5,80,80,0,0,5,11,17,5,No
Cassandra,org.apache.cassandra.db.rows.ThrottledUnfilteredIteratorTest,ThrottledUnfilteredIteratorTest,Public Class,154,3,24,2,3,29,1,82,10,6,512,35,0.07,67,67,126,128,0,0,325,257,10,0,625,11,2,5,20,0,0,10,0,10,256,339,65,No
Cassandra,org.apache.cassandra.db.rows.ThrottledUnfilteredIteratorTest.partitions.(Anon_2),(Anon_2),Anonymous Class,5,0,6,0,1,6,1,2,0,0,20,0,0,6,6,2,6,0,0,12,6,3,0,22,1,2,0,3,0,0,0,0,3,6,10,3,No
