Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Activemq,org.apache.activemq.util.ByteSequence,ByteSequence,Public Class,17,0,5,0,2,5,1,18,0,0,92,16,0.17,0,0,23,27,0,0,44,45,17,3,126,4,1,2,17,35,33,2,0,15,43,72,28,No
Activemq,org.apache.activemq.transport.amqp.AmqpWireFormatFactory,AmqpWireFormatFactory,Public Class,13,0,4,0,1,4,2,16,0,0,55,19,0.35,5,5,22,21,0,0,26,20,13,6,90,1,1,0,13,85,77,0,0,13,26,40,13,No
Activemq,org.apache.activemq.transport.amqp.AmqpWSTransport,AmqpWSTransport,Public Class,44,0,5,1,1,5,3,22,0,0,81,15,0.19,13,13,37,22,0,0,25,23,16,5,118,2,3,1,16,86,85,0,2,14,24,44,19,No
Activemq,org.apache.activemq.transport.amqp.AmqpWSTransportFactory,AmqpWSTransportFactory,Public Class,26,1,5,1,1,7,2,11,0,0,35,10,0.29,16,16,17,11,0,0,15,14,6,1,56,1,2,0,6,67,67,0,3,3,15,22,6,No
Activemq,org.apache.activemq.transport.TransportFactory,TransportFactory,Public Abstract Class,20,0,7,4,2,12,1,26,7,5,145,98,0.68,27,27,51,47,0,11,86,80,13,0,269,4,1,2,20,0,0,0,5,15,69,103,33,No
Activemq,org.apache.activemq.transport.amqp.message.AmqpContentTypeSupport,AmqpContentTypeSupport,Public Final Class,4,4,20,2,6,25,1,20,4,11,92,9,0.1,7,7,29,29,0,0,65,46,0,0,121,11,1,4,4,0,0,3,0,1,43,65,22,No
Activemq,org.apache.activemq.transport.amqp.message.InvalidContentTypeException,InvalidContentTypeException,Public Class,1,0,3,0,1,3,1,2,0,1,6,0,0,1,1,3,3,0,0,2,1,1,0,8,1,2,0,1,0,0,0,0,1,2,4,1,No
Activemq,org.apache.activemq.transport.amqp.message.AMQPMessageIdHelper,AMQPMessageIdHelper,Public Class,11,1,9,5,3,16,1,30,0,10,114,81,0.71,8,8,39,41,0,0,81,69,11,0,225,7,1,2,11,0,0,7,0,4,60,91,29,No
Activemq,org.apache.activemq.transport.amqp.message.AmqpMessageSupport,AmqpMessageSupport,Public Final Class,9,2,12,9,3,23,1,40,9,40,159,89,0.56,30,30,68,68,0,0,117,63,0,0,288,5,1,4,9,0,0,1,0,8,89,118,25,No
Activemq,org.apache.activemq.command.ActiveMQBytesMessage,ActiveMQBytesMessage,Public Class,248,0,11,8,3,18,2,52,0,1,484,397,0.82,32,32,107,70,0,0,301,249,44,4,933,12,4,4,44,74,44,5,3,36,198,304,116,No
Activemq,org.apache.activemq.command.ActiveMQMapMessage,ActiveMQMapMessage,Public Class,247,0,9,7,2,16,2,49,0,1,397,355,0.89,37,37,102,66,0,0,224,207,43,1,801,8,4,3,43,44,7,5,1,37,156,254,98,No
Activemq,org.apache.activemq.command.ActiveMQObjectMessage,ActiveMQObjectMessage,Public Class,224,0,7,2,2,9,3,27,0,1,151,76,0.5,24,24,53,38,0,0,83,74,20,3,254,5,4,3,20,68,58,1,0,19,68,99,30,No
Activemq,org.apache.activemq.command.ActiveMQTextMessage,ActiveMQTextMessage,Public Class,219,0,9,1,2,10,2,18,0,1,138,34,0.25,21,21,45,32,0,0,78,66,15,1,190,6,4,4,15,33,20,2,0,13,60,90,29,No
Activemq,org.apache.activemq.util.JMSExceptionSupport,JMSExceptionSupport,Public Final Class,7,0,11,0,2,11,1,7,6,0,76,16,0.21,9,9,19,19,0,0,49,47,1,0,99,5,1,1,7,0,0,1,0,6,40,57,16,No
Activemq,org.apache.activemq.command.Message,Message,Public Abstract Class,135,0,5,1,1,6,3,132,0,2,546,155,0.28,30,30,201,172,0,2,221,211,113,39,833,4,2,2,113,97,96,2,6,105,236,374,135,No
