Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfCreateMonoBrush,EmfCreateMonoBrush,Public Static Class,9,1,6,1,1,8,3,19,0,0,56,15,0.27,17,17,26,20,0,0,27,22,9,3,90,2,1,1,9,70,59,0,0,9,24,35,10,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfCreatePen,EmfCreatePen,Public Static Class,16,1,5,0,1,6,2,11,0,0,39,10,0.26,12,12,18,12,0,1,16,13,7,1,60,1,2,0,7,57,43,0,0,7,14,22,7,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfDeleteObject,EmfDeleteObject,Public Static Class,9,0,4,0,1,4,2,3,0,0,15,4,0.27,5,5,7,4,0,0,4,4,3,0,22,1,2,0,3,0,0,0,0,3,4,8,3,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfEof,EmfEof,Public Static Class,4,2,9,2,2,13,2,11,0,0,40,7,0.17,12,12,18,15,0,0,24,22,4,1,58,3,1,2,4,75,50,0,0,4,24,31,6,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfExtCreatePen,EmfExtCreatePen,Public Static Class,24,3,8,4,1,14,1,30,0,0,67,32,0.48,17,17,27,23,0,0,40,34,8,3,129,3,3,1,8,75,63,0,0,8,37,48,10,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfModifyWorldTransform,EmfModifyWorldTransform,Public Static Class,8,1,7,1,2,8,2,12,0,0,61,5,0.08,16,16,20,14,0,0,33,25,8,3,78,6,1,1,8,71,63,0,0,8,25,36,13,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfRestoreDc,EmfRestoreDc,Public Static Class,9,0,4,1,1,5,2,3,0,0,15,7,0.47,5,5,7,4,0,0,4,4,3,0,25,1,2,0,3,0,0,0,0,3,4,8,3,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfSaveDc,EmfSaveDc,Public Static Class,8,0,4,0,1,4,2,2,0,0,14,3,0.21,4,4,7,4,0,0,3,3,3,0,19,1,2,0,3,0,0,0,0,3,3,7,3,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfSetBkColor,EmfSetBkColor,Public Static Class,9,0,4,0,1,4,2,3,0,0,14,4,0.29,5,5,7,4,0,0,3,3,3,0,21,1,2,0,3,0,0,0,0,3,3,7,3,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfSetBkMode,EmfSetBkMode,Public Static Class,9,0,4,1,1,5,2,2,0,0,14,9,0.64,6,6,6,4,0,0,4,4,3,0,25,1,2,0,3,0,0,0,0,3,4,8,3,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfSetBrushOrgEx,EmfSetBrushOrgEx,Public Static Class,5,0,4,0,1,4,2,5,0,0,22,0,0,11,11,11,7,0,0,6,6,5,1,27,1,1,0,5,60,40,0,0,5,6,12,5,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfSetMapMode,EmfSetMapMode,Public Static Class,9,0,4,0,1,4,2,2,0,0,14,6,0.43,6,6,6,4,0,0,4,4,3,0,22,1,2,0,3,0,0,0,0,3,4,8,3,No
