Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.AgeTimeStampFunction,AgeTimeStampFunction,Public Static Class,2,0,5,0,1,5,2,2,0,0,16,0,0,7,7,10,8,0,0,5,3,2,3,18,1,1,0,2,50,50,0,0,2,8,11,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.CastTimeStampToTime,CastTimeStampToTime,Public Static Class,2,0,4,0,1,4,2,2,0,0,12,0,0,7,7,8,5,0,0,1,1,2,2,14,1,1,0,2,50,50,0,0,2,3,6,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.CurrentDate,CurrentDate,Public Static Class,2,1,5,0,1,6,2,4,0,0,16,0,0,10,10,10,9,0,0,6,5,2,3,20,1,1,0,2,33,33,0,0,2,8,11,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.CurrentTime,CurrentTime,Public Static Class,2,1,6,0,1,7,2,3,0,0,18,0,0,9,9,10,9,0,0,8,5,2,3,21,1,1,0,2,33,33,0,0,2,8,11,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.DatePartFunction,DatePartFunction,Public Static Class,2,0,4,0,2,4,2,2,0,0,14,0,0,8,8,8,6,0,0,2,2,2,3,16,2,1,1,2,100,100,0,0,2,4,8,3,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.DateTimeAddFunction,DateTimeAddFunction,Public Static Class,2,0,3,0,1,3,2,2,0,0,12,0,0,7,7,8,6,0,0,1,1,2,3,14,1,1,0,2,50,50,0,0,2,4,7,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.DateType,DateType,Public Static Class,2,0,6,0,1,6,2,3,0,0,19,0,0,6,6,8,7,0,0,8,1,2,4,22,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.IntervalDayType,IntervalDayType,Public Static Class,2,1,5,0,1,5,2,4,0,0,18,0,0,6,6,10,9,0,0,5,2,2,6,22,1,1,0,2,50,50,0,0,2,8,11,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.IntervalType,IntervalType,Public Static Class,2,1,6,0,1,6,2,4,0,0,22,0,0,6,6,12,11,0,0,7,3,2,8,26,1,1,0,2,50,50,0,0,2,11,14,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.IntervalYearType,IntervalYearType,Public Static Class,2,1,3,0,1,4,2,4,0,0,12,0,0,6,6,7,6,0,0,2,1,2,3,16,1,1,0,2,50,50,0,0,2,4,7,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.IsDate,IsDate,Public Static Class,2,0,4,1,2,5,2,3,0,0,15,16,1.07,7,7,8,5,0,0,4,3,2,2,34,3,1,1,2,50,50,0,0,2,4,8,4,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.IsDateRequiredInput,IsDateRequiredInput,Public Static Class,2,0,2,1,2,3,2,3,0,0,11,1,0.09,7,7,8,5,0,0,1,1,2,2,15,2,1,0,2,50,50,0,0,2,3,6,3,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.LocalTimeStampNiladic,LocalTimeStampNiladic,Public Static Class,2,0,3,0,1,3,2,2,0,0,12,0,0,7,7,7,6,0,0,2,2,2,3,14,1,1,0,2,33,33,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.LocalTimeStampNonNiladic,LocalTimeStampNonNiladic,Public Static Class,2,0,3,0,1,3,2,2,0,0,12,0,0,7,7,7,6,0,0,2,2,2,3,14,1,1,0,2,33,33,0,0,2,5,8,2,No
